,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name,TPshaft_power,psfc
0,0.0,0.0,0.0,22614.51202977951,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
1,60.0,0.0,0.0,22613.277958573333,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
2,120.0,0.0,0.0,22612.043887367156,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
3,180.0,0.0,0.0,22610.809816160978,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
4,240.0,0.0,0.0,22609.5757449548,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
5,300.0,0.0,0.0,22608.341673748622,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
6,360.0,0.0,0.0,22607.107602542445,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
7,420.0,0.0,0.0,22605.873531336267,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
8,480.0,0.0,0.0,22604.63946013009,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
9,540.0,0.0,0.0,22603.40538892391,0.0,0.0,0.0,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:taxi_out,207506.2094860861,9.911921906943892e-08
10,580.54999999998,10.668000000000001,0.0,22593.40538892391,55.0,54.971839501663524,0.1616437980683375,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:takeoff,207506.2094860861,9.911921906943892e-08
11,580.54999999998,10.668000000000001,0.0,22593.40538892391,55.0,54.971839501663524,0.1616437980683375,2,0.0,0.0,,0.0,8425.663389328645,0.25,False,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:takeoff,207506.2094860861,9.911921906943892e-08
12,580.54999999998,6096.0,250000.0,22051.163659589736,142.21487430258435,103.80824962492689,0.45,2,0.5779094386493344,0.0326000374721997,,12198.614297599348,8425.663389328645,0.25,True,2.4410960283993843e-06,0.0,0.0,0.0,,sizing:main_route:climb,207506.2094860861,9.911921906943892e-08
13,6831.654213673957,6096.0,1139000.0,23035.12482391666,142.21487430258435,103.80824962492689,0.45,3,0.6036967600309715,0.03361063060638715,,12576.76833703159,12576.76833703159,1.513630323412779,True,-2.7367967494028337e-05,0.0,0.0,0.0,,sizing:main_route:cruise,2096833.3242711085,-1.641525738091056e-07
14,6831.654213673957,0.0,1389000.0,22689.59795155791,0.0,0.0,0.0,3,0.6036967600309715,0.03361063060638715,,12576.76833703159,12576.76833703159,1.513630323412779,True,-2.7367967494028337e-05,0.0,0.0,0.0,,sizing:main_route:descent,2096833.3242711085,-1.641525738091056e-07
15,6831.654213673957,0.0,1389000.0,22689.59795155791,0.0,0.0,0.0,3,0.6036967600309715,0.03361063060638715,,12576.76833703159,12576.76833703159,1.513630323412779,True,-2.7367967494028337e-05,0.0,0.0,0.0,,sizing:global_reserve,2096833.3242711085,-1.641525738091056e-07
16,6831.654213673957,0.0,1389000.0,21405.281086375384,0.0,0.0,0.0,3,0.6036967600309715,0.03361063060638715,,12576.76833703159,12576.76833703159,1.513630323412779,True,-2.7367967494028337e-05,0.0,0.0,0.0,,sizing:global_reserve,2096833.3242711085,-1.641525738091056e-07
