dia,m_H2
0.637851715,10
0.803642802,20
0.919941362,30
1.012526483,40
1.09071109,50
1.159053487,60
1.220166436,70
1.27570343,80
1.326785034,90
1.374209862,100
1.418569515,110
1.460315886,120
1.499802863,130
1.537313377,140
1.573077601,150
1.607285605,160
1.640096372,170
1.671644393,180
1.702044568,190
1.731395932,200
1.759784518,210
1.787285593,220
1.81396543,230
1.839882724,240
1.865089729,250
1.889633198,260
1.913555145,270
1.936893484,280
1.959682556,290
1.981953583,300
2.003735037,310
2.025052967,320
2.045931273,330
2.066391944,340
2.086455256,350
2.106139959,360
2.125463423,370
2.144441779,380
2.163090035,390
2.181422181,400
2.199451281,410
2.217189557,420
2.234648461,430
2.25183874,440
2.268770494,450
2.28545323,460
2.301895904,470
2.318106973,480
2.334094423,490
2.34986581,500
2.365428288,510
2.380788643,520
2.395953311,530
2.410928407,540
2.425719749,550
2.440332871,560
2.454773047,570
2.469045304,580
2.48315444,590
2.497105039,600
2.510901479,610
2.524547951,620
2.538048464,630
2.55140686,640
2.564626821,650
2.577711878,660
2.590665422,670
2.603490707,680
2.616190863,690
2.628768897,700
2.641227703,710
2.653570068,720
2.665798674,730
2.677916107,740
2.68992486,750
2.701827338,760
2.71362586,770
2.725322668,780
2.736919925,790
2.748419724,800
2.759824086,810
2.771134967,820
2.782354259,830
2.793483794,840
2.804525347,850
2.815480635,860
2.826351325,870
2.83713903,880
2.847845316,890
2.858471703,900
2.869019665,910
2.879490633,920
2.889885996,930
2.900207105,940
2.910455272,950
2.920631771,960
2.930737844,970
2.940774696,980
2.9507435,990
2.960645398,1000
2.970481501,1010
2.980252893,1020
2.989960625,1030
2.999605726,1040
3.009189196,1050
3.01871201,1060
3.028175119,1070
3.03757945,1080
3.046925908,1090
3.056215373,1100
3.065448708,1110
3.074626753,1120
3.083750328,1130
3.092820235,1140
3.101837254,1150
3.110802152,1160
3.119715673,1170
3.12857855,1180
3.137391494,1190
3.146155203,1200
3.154870358,1210
3.163537628,1220
3.172157664,1230
3.180731105,1240
3.189258575,1250
3.197740686,1260
3.206178035,1270
3.21457121,1280
3.222920783,1290
3.231227317,1300
3.239491361,1310
3.247713456,1320
3.255894129,1330
3.264033898,1340
3.272133271,1350
3.280192745,1360
3.288212808,1370
3.296193938,1380
3.304136605,1390
3.312041268,1400
3.319908379,1410
3.327738381,1420
3.335531708,1430
3.343288786,1440
3.351010035,1450
3.358695864,1460
3.366346679,1470
3.373962874,1480
3.381544838,1490
3.389092954,1500
