tank_len,m_H2,,
1.275919079,10,,
1.607557305,20,,
1.840193743,30,,
2.025395288,40,,
2.181790935,50,,
2.318498833,60,,
2.440745392,70,,
2.551838157,80,,
2.654018635,90,,
2.748884325,100,,
2.837618628,110,,
2.921125484,120,,
3.000112789,130,,
3.075146497,140,,
3.146687038,150,,
3.21511461,160,,
3.280747238,170,,
3.343853945,180,,
3.404664573,190,,
3.463377225,200,,
3.520163993,210,,
3.575175441,220,,
3.628544137,230,,
3.680387486,240,,
3.730810019,250,,
3.779905254,260,,
3.827757236,270,,
3.874441803,280,,
3.920027654,290,,
3.964577236,300,,
4.008147508,310,,
4.050790576,320,,
4.092554247,330,,
4.133482505,340,,
4.173615913,350,,
4.212991973,360,,
4.251645435,370,,
4.289608564,380,,
4.32691138,390,,
4.363581869,400,,
4.399646165,410,,
4.435128714,420,,
4.470052426,430,,
4.504438796,440,,
4.538308028,450,,
4.571679139,460,,
4.604570047,470,,
4.636997665,480,,
4.66897797,490,,
4.700526076,500,,
4.731656295,510,,
4.762382197,520,,
4.792716659,530,,
4.822671916,540,,
4.8522596,550,,
4.881490785,560,,
4.910376018,570,,
4.938925357,580,,
4.9671484,590,,
4.995054314,600,,
5.022651859,610,,
5.049949416,620,,
5.076955007,630,,
5.103676315,640,,
5.130120706,650,,
5.156295244,660,,
5.18220671,670,,
5.207861617,680,,
5.233266222,690,,
5.258426543,700,,
5.283348368,710,,
5.30803727,720,,
5.332498617,730,,
5.35673758,740,,
5.380759146,750,,
5.404568125,760,,
5.428169159,770,,
5.451566729,780,,
5.474765165,790,,
5.49776865,800,,
5.520581229,810,,
5.543206815,820,,
5.565649192,830,,
5.587912026,840,,
5.609998865,850,,
5.631913145,860,,
5.653658199,870,,
5.675237256,880,,
5.696653449,890,,
5.717909816,900,,
5.739009305,910,,
5.75995478,920,,
5.780749021,930,,
5.801394728,940,,
5.821894527,950,,
5.842250967,960,,
5.862466529,970,,
5.882543626,980,,
5.902484605,990,,
5.922291748,1000,,
5.941967281,1010,,
5.961513367,1020,,
5.980932114,1030,,
6.000225577,1040,,
6.019395757,1050,,
6.038444605,1060,,
6.057374022,1070,,
6.076185863,1080,,
6.094881938,1090,,
6.11346401,1100,,
6.131933802,1110,,
6.150292995,1120,,
6.168543229,1130,,
6.186686108,1140,,
6.204723196,1150,,
6.222656021,1160,,
6.240486079,1170,,
6.258214828,1180,,
6.275843695,1190,,
6.293374076,1200,,
6.310807334,1210,,
6.328144804,1220,,
6.34538779,1230,,
6.36253757,1240,,
6.379595394,1250,,
6.396562483,1260,,
6.413440034,1270,,
6.430229221,1280,,
6.44693119,1290,,
6.463547066,1300,,
6.480077948,1310,,
6.496524917,1320,,
6.512889029,1330,,
6.529171319,1340,,
6.545372804,1350,,
6.561494477,1360,,
6.577537314,1370,,
6.593502273,1380,,
6.609390292,1390,,
6.625202291,1400,,
6.640939172,1410,,
6.656601823,1420,,
6.672191111,1430,,
6.687707891,1440,,
6.703152998,1450,,
6.718527256,1460,,
6.733831471,1470,,
6.749066436,1480,,
6.764232929,1490,,
6.779331713,1500,,
