Ampere,m_ratio
504.0810003,0.820972065
568.5868336,1.018142943
622.3509908,1.150055002
678.2579056,1.314457029
794.3758425,1.643447004
876.088809,1.87375858
940.5760501,2.135723471
1020.136963,2.365942085
1088.919015,2.660489906
1153.387664,2.987248811
1250.10923,3.412593155
1387.645446,4.098879817
1482.224254,4.491734193
1664.879228,5.439149094
1806.700959,6.190415692
1933.467611,6.908634554
2075.242861,7.821886184
2206.276436,8.669878995
2333.015199,9.485288877
2442.546829,10.26755806
2552.069163,11.08222425
2655.153928,11.83181755
2760.344267,12.74348884
2861.258386,13.55778318
2975.038347,14.53462033
